,p_max,p_min,p_avg,p_std,p_var,p_mid,vx_max,vx_min,vx_avg,vx_std,vx_var,vx_mid,vy_max,vy_min,vy_avg,vy_std,vy_var,vy_mid
5_472,0.99455756,-1.7088602,-0.1561264,0.45919877,0.21086352,0.030716037,114.26447,-2.8454452,68.32603,19.895578,395.83408,67.947296,74.69656,-18.112873,3.795726,12.400264,153.76654,2.90419
5_473,0.9937064,-1.2962302,-0.14266367,0.402218,0.16177933,0.06781326,103.089554,-5.031773,68.39545,18.986246,360.4775,67.54997,83.12847,-18.152016,4.078012,10.758768,115.75109,3.2352173
5_474,0.9851749,-1.6526549,-0.15372232,0.48820096,0.23834017,0.08503778,114.38124,0.0,66.79124,21.936129,481.19376,66.227646,68.76567,-16.654488,3.998328,12.793986,163.6861,2.2973847
5_475,0.96578103,-1.4276358,-0.14113784,0.43356556,0.18797909,0.06609159,108.309525,0.0,67.19599,20.15891,406.3817,68.04605,67.01014,-16.954851,3.7631464,11.613981,134.88455,2.474738
5_476,0.9784528,-1.6282697,-0.15605196,0.4815847,0.23192382,0.09214394,113.73445,0.0,67.2844,21.475311,461.18896,67.34474,63.980324,-17.567106,4.0024023,12.856649,165.29343,1.9478991
5_477,0.97468555,-1.815163,-0.13998714,0.39157796,0.15333329,0.0038990048,111.09308,-1.9693583,67.67131,19.079538,364.02878,68.86062,79.74701,-15.43557,3.8289082,10.556404,111.437675,3.088273
5_478,0.9893258,-1.5211984,-0.17242025,0.45743182,0.20924388,-0.014324849,108.60174,-5.595176,66.86138,23.09702,533.4723,68.16893,73.686874,-17.363897,4.5072503,12.680102,160.78499,3.3778281
5_479,0.99026424,-1.3141052,-0.13453811,0.386238,0.1491798,0.07296172,99.34874,-4.525786,68.37381,18.617077,346.59552,67.35874,83.06948,-18.579596,3.9241576,10.213371,104.31295,3.1035304
5_480,0.98039013,-1.6991796,-0.14033654,0.45110512,0.20349583,0.075282365,115.11759,-2.8504379,67.82515,19.446865,378.18057,66.807175,70.457115,-20.719397,3.864184,11.913449,141.93028,2.2433584
5_481,0.99360037,-1.7435452,-0.15640663,0.47678065,0.22731978,0.086314246,116.57984,-1.2440056,67.24479,21.22754,450.60843,66.982666,65.16064,-21.236498,4.0822024,12.8128,164.16785,2.8924947
5_482,0.97508407,-1.5169386,-0.13453166,0.40160903,0.16128983,0.053622887,108.66187,0.0,67.514946,19.85221,394.11023,68.2104,73.237816,-17.460314,3.372016,11.028555,121.62903,2.5917466
5_483,0.9700358,-1.6897827,-0.14737262,0.44111836,0.19458541,0.041352816,115.597824,-1.8335936,66.81151,21.72738,472.07904,68.54927,64.19227,-19.655312,3.9524262,11.9881315,143.7153,1.9365207
5_484,0.9836542,-1.4184084,-0.13054821,0.4233737,0.1792453,0.071400784,107.87217,-2.7048094,67.429054,19.026642,362.01312,67.25362,70.80772,-20.110498,3.7541409,11.216713,125.81465,2.589781
5_485,0.97102916,-1.5578798,-0.13955799,0.40724406,0.16584772,0.009646325,110.246635,0.0,67.99288,19.243341,370.3062,68.54364,73.802666,-15.155366,3.7091095,11.168423,124.73367,2.8314407
5_486,0.98889387,-1.5305005,-0.15582713,0.4547834,0.20682794,0.04270147,110.57597,-1.6180482,67.45392,20.693876,428.23648,67.954666,65.01489,-17.977549,4.1283545,12.461464,155.28809,2.8243341
5_487,0.9812751,-1.4703481,-0.14987223,0.437704,0.1915848,0.044879217,109.78302,0.0,67.19289,20.38469,415.53555,68.11203,68.441086,-19.195623,3.9494205,11.986484,143.67578,2.7133462
5_488,0.9845336,-1.2464386,-0.13027233,0.35992298,0.12954454,0.07218906,99.24683,-2.916887,68.40094,17.699833,313.28412,68.94112,76.88378,-19.07549,3.6177592,9.83733,96.773056,2.8978298
